,Generations,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Cross 1,F1,39.9,50.43,2.34,21.2,3.12,23.18,356.84,20.23,58.1,3.1,15.27,35.5
,F2,44.1,45.05,2.18,16.8,2.7,25.75,481.53,19.05,59,3.25,19.76,39.4
,P1,47.07,38.56,2.3,11.73,2.15,21.88,250.93,19.73,59.6,2.4,14.33,43.2
,P2,48.27,50.75,2.3,21.69,2.94,14.68,298.07,21.27,57.8,3.6,19.34,30.2
,B1,45.27,41.2,2.23,19.68,2.66,23.73,477.32,18.93,59.13,2.73,18.93,39
,B2,45.4,47.87,2.19,21.07,2.45,19.92,485.67,19.73,60.27,3.53,17.38,39.53
Cross 2,F1,41.53,53.97,2.68,21.81,3.14,28.51,454.91,19.8,60.1,3.4,17.6,34.6
,F2,43.9,50.91,2.26,15.51,2.75,29.91,465.82,18.7,58.45,3.05,19.36,30.8
,P1,57.2,48.37,2.2,18.83,2.58,10.23,293.54,18,58.4,3.2,18.31,40.2
,P2,44,31.89,2.17,9.4,2.31,17.99,264.54,19.73,60.8,3,17.92,22
,B1,52,49.87,2.37,20.6,2.77,21.73,478.08,18.6,60.27,3.4,18.18,35.8
,B2,44.2,43.13,2.09,14.86,2.66,24.68,376.18,18.6,60.27,2.93,14.34,33.6
Cross 3,F1,38.4,54.57,2.82,22.14,3.35,20.7,376.61,20.1,61.2,2.6,15.19,36.5
,F2,44.85,52.52,2.69,20.59,2.55,27.25,484.19,18.85,61.2,2.55,18.63,38.6
,P1,48,45.73,2.6,19.65,2.16,20.4,201.47,17.27,61.4,3.8,17.14,41
,P2,42.53,50.73,2.61,15.64,2.91,15.81,255.33,20.73,57.8,2.8,14.3,30.4
,B1,45,49.75,2.71,20.4,2.21,25.37,472.86,18.2,60,3.47,19.15,38.87
,B2,42.8,51.25,2.54,16.6,2.79,23.67,400.47,18.93,59.2,2.53,17.64,38.13
